run_id,timestamp_utc,problem_id,method_name,arm,pool_size,n_rounds,rounds_completed,seed,model_name,judge_model,temperature,sighted_cap,n_generated,n_survivors,final_candidate_id,gen_prompt_tokens,gen_completion_tokens,sel_prompt_tokens,sel_completion_tokens,total_reasoning_tokens,total_tokens,total_wall_seconds,n_api_calls,n_cached_calls,n_parse_failures,n_short_generations,n_challenger_discarded,gen_prompt_sha,sel_prompt_sha,git_commit,notes
mars_boot__sighted__n2__qwen-qwen3-235b-a22b-2507__s2,2026-08-04T04:43:14+00:00,mars_boot,sighted_n2,sighted,2,10,10,2,qwen/qwen3-235b-a22b-2507,deepseek/deepseek-chat-v3.1,0.7,,12,2,c004,10458,4276,12765,200,0,27699,147.38,23,0,0,1,4,84da58c7bb6d,f34a41eb5d7b,5fd8c28,
mars_boot__sighted__n2__qwen-qwen3-235b-a22b-2507__s0,2026-08-04T04:43:19+00:00,mars_boot,sighted_n2,sighted,2,10,10,0,qwen/qwen3-235b-a22b-2507,deepseek/deepseek-chat-v3.1,0.7,,12,2,c007,10402,4289,13198,198,0,28087,152.38,22,0,0,0,6,84da58c7bb6d,f34a41eb5d7b,5fd8c28,
mars_boot__sighted__n2__qwen-qwen3-235b-a22b-2507__s1,2026-08-04T04:43:19+00:00,mars_boot,sighted_n2,sighted,2,10,10,1,qwen/qwen3-235b-a22b-2507,deepseek/deepseek-chat-v3.1,0.7,,12,2,c001,12897,3918,12744,200,0,29759,152.6,25,0,0,4,4,84da58c7bb6d,f34a41eb5d7b,5fd8c28,
mars_boot__sighted__n3__qwen-qwen3-235b-a22b-2507__s3,2026-08-04T04:43:22+00:00,mars_boot,sighted_n3,sighted,3,10,10,3,qwen/qwen3-235b-a22b-2507,deepseek/deepseek-chat-v3.1,0.7,,13,3,c007,14669,4634,16532,227,0,36062,155.94,23,0,0,0,4,84da58c7bb6d,f34a41eb5d7b,5fd8c28,
mars_boot__sighted__n3__qwen-qwen3-235b-a22b-2507__s2,2026-08-04T04:43:43+00:00,mars_boot,sighted_n3,sighted,3,10,10,2,qwen/qwen3-235b-a22b-2507,deepseek/deepseek-chat-v3.1,0.7,,13,3,c009,14484,5065,16551,230,0,36330,176.35,23,0,0,0,4,84da58c7bb6d,f34a41eb5d7b,5fd8c28,
mars_boot__sighted__n3__qwen-qwen3-235b-a22b-2507__s4,2026-08-04T04:43:43+00:00,mars_boot,sighted_n3,sighted,3,10,10,4,qwen/qwen3-235b-a22b-2507,deepseek/deepseek-chat-v3.1,0.7,,13,3,c011,14616,4735,16555,230,0,36136,176.69,23,0,0,0,3,84da58c7bb6d,f34a41eb5d7b,5fd8c28,
mars_boot__sighted__n2__qwen-qwen3-235b-a22b-2507__s4,2026-08-04T04:43:45+00:00,mars_boot,sighted_n2,sighted,2,10,10,4,qwen/qwen3-235b-a22b-2507,deepseek/deepseek-chat-v3.1,0.7,,12,2,c009,10954,4321,13188,200,0,28663,178.98,23,0,0,1,6,84da58c7bb6d,f34a41eb5d7b,5fd8c28,
mars_boot__sighted__n3__qwen-qwen3-235b-a22b-2507__s1,2026-08-04T04:43:50+00:00,mars_boot,sighted_n3,sighted,3,10,10,1,qwen/qwen3-235b-a22b-2507,deepseek/deepseek-chat-v3.1,0.7,,13,3,c007,14827,5057,16208,230,0,36322,183.84,23,0,0,0,6,84da58c7bb6d,f34a41eb5d7b,5fd8c28,
mars_boot__blind__n5__qwen-qwen3-235b-a22b-2507__s3,2026-08-04T04:43:50+00:00,mars_boot,blind_n5,blind,5,10,10,3,qwen/qwen3-235b-a22b-2507,deepseek/deepseek-chat-v3.1,0.7,,15,5,c000,3116,4719,21299,289,0,29423,184.05,25,0,0,0,3,1c644e8cf2ec,f34a41eb5d7b,5fd8c28,
mars_boot__sighted__n1__qwen-qwen3-235b-a22b-2507__s3,2026-08-04T04:43:53+00:00,mars_boot,sighted_n1,sighted,1,10,10,3,qwen/qwen3-235b-a22b-2507,deepseek/deepseek-chat-v3.1,0.7,,11,1,c008,7056,4082,9399,170,0,20707,186.69,23,0,0,2,6,84da58c7bb6d,f34a41eb5d7b,5fd8c28,
mars_boot__sighted__n5__qwen-qwen3-235b-a22b-2507__s1,2026-08-04T04:44:00+00:00,mars_boot,sighted_n5,sighted,5,10,10,1,qwen/qwen3-235b-a22b-2507,deepseek/deepseek-chat-v3.1,0.7,,15,5,c007,24718,5423,23721,284,0,54146,189.09,25,0,0,0,0,84da58c7bb6d,f34a41eb5d7b,5fd8c28,
mars_boot__blind__n5__qwen-qwen3-235b-a22b-2507__s4,2026-08-04T04:44:03+00:00,mars_boot,blind_n5,blind,5,10,10,4,qwen/qwen3-235b-a22b-2507,deepseek/deepseek-chat-v3.1,0.7,,15,5,c008,3353,5293,21258,290,0,30194,196.35,26,0,0,1,2,1c644e8cf2ec,f34a41eb5d7b,5fd8c28,
mars_boot__sighted__n3__qwen-qwen3-235b-a22b-2507__s0,2026-08-04T04:44:03+00:00,mars_boot,sighted_n3,sighted,3,10,10,0,qwen/qwen3-235b-a22b-2507,deepseek/deepseek-chat-v3.1,0.7,,13,3,c007,14794,4262,16108,229,0,35393,196.63,24,0,0,1,5,84da58c7bb6d,f34a41eb5d7b,5fd8c28,
mars_boot__sighted__n1__qwen-qwen3-235b-a22b-2507__s2,2026-08-04T04:44:06+00:00,mars_boot,sighted_n1,sighted,1,10,10,2,qwen/qwen3-235b-a22b-2507,deepseek/deepseek-chat-v3.1,0.7,,11,1,c006,6613,4228,9776,170,0,20787,199.22,22,0,0,1,7,84da58c7bb6d,f34a41eb5d7b,5fd8c28,
mars_boot__blind__n5__qwen-qwen3-235b-a22b-2507__s2,2026-08-04T04:44:25+00:00,mars_boot,blind_n5,blind,5,10,10,2,qwen/qwen3-235b-a22b-2507,deepseek/deepseek-chat-v3.1,0.7,,15,5,c010,3357,5242,20876,290,0,29765,218.39,26,0,0,1,5,1c644e8cf2ec,f34a41eb5d7b,5fd8c28,
mars_boot__sighted__n2__qwen-qwen3-235b-a22b-2507__s3,2026-08-04T04:44:25+00:00,mars_boot,sighted_n2,sighted,2,10,10,3,qwen/qwen3-235b-a22b-2507,deepseek/deepseek-chat-v3.1,0.7,,12,2,c009,11518,5017,12749,200,0,29484,218.41,24,0,0,2,6,84da58c7bb6d,f34a41eb5d7b,5fd8c28,
mars_boot__sighted__n5__qwen-qwen3-235b-a22b-2507__s0,2026-08-04T04:44:45+00:00,mars_boot,sighted_n5,sighted,5,10,10,0,qwen/qwen3-235b-a22b-2507,deepseek/deepseek-chat-v3.1,0.7,,15,5,c012,26645,6511,23345,289,0,56790,238.92,27,0,0,2,2,84da58c7bb6d,f34a41eb5d7b,5fd8c28,
mars_boot__sighted__n5__qwen-qwen3-235b-a22b-2507__s3,2026-08-04T04:44:57+00:00,mars_boot,sighted_n5,sighted,5,10,10,3,qwen/qwen3-235b-a22b-2507,deepseek/deepseek-chat-v3.1,0.7,,15,5,c001,26327,5750,22702,290,0,55069,237.34,28,0,0,3,3,84da58c7bb6d,f34a41eb5d7b,5fd8c28,
mars_boot__sighted__n5__qwen-qwen3-235b-a22b-2507__s4,2026-08-04T04:45:02+00:00,mars_boot,sighted_n5,sighted,5,10,10,4,qwen/qwen3-235b-a22b-2507,deepseek/deepseek-chat-v3.1,0.7,,15,5,c009,27829,5877,23706,290,0,57702,217.14,27,0,0,2,3,84da58c7bb6d,f34a41eb5d7b,5fd8c28,
mars_boot__sighted__n5__qwen-qwen3-235b-a22b-2507__s2,2026-08-04T04:49:08+00:00,mars_boot,sighted_n5,sighted,5,10,10,2,qwen/qwen3-235b-a22b-2507,deepseek/deepseek-chat-v3.1,0.7,,15,5,c014,27825,5298,24022,288,0,57433,495.99,27,0,0,2,2,84da58c7bb6d,f34a41eb5d7b,5fd8c28,
mars_boot__blind__n40__qwen-qwen3-235b-a22b-2507__s0,2026-08-04T04:49:36+00:00,mars_boot,blind_n40,blind,40,10,10,0,qwen/qwen3-235b-a22b-2507,deepseek/deepseek-chat-v3.1,0.7,,50,40,c001,11325,15847,125380,1259,0,153811,529.45,64,0,0,4,1,1c644e8cf2ec,f34a41eb5d7b,5fd8c28,
mars_boot__blind__n40__qwen-qwen3-235b-a22b-2507__s4,2026-08-04T04:49:54+00:00,mars_boot,blind_n40,blind,40,10,10,4,qwen/qwen3-235b-a22b-2507,deepseek/deepseek-chat-v3.1,0.7,,50,40,c048,11468,16308,125096,1257,0,154129,548.15,65,0,0,5,0,1c644e8cf2ec,f34a41eb5d7b,5fd8c28,
mars_boot__blind__n40__qwen-qwen3-235b-a22b-2507__s1,2026-08-04T04:50:26+00:00,mars_boot,blind_n40,blind,40,10,10,1,qwen/qwen3-235b-a22b-2507,deepseek/deepseek-chat-v3.1,0.7,,50,40,c046,11735,15501,124613,1177,0,153026,579.64,66,0,0,6,0,1c644e8cf2ec,f34a41eb5d7b,5fd8c28,
mars_boot__blind__n40__qwen-qwen3-235b-a22b-2507__s2,2026-08-04T04:50:39+00:00,mars_boot,blind_n40,blind,40,10,10,2,qwen/qwen3-235b-a22b-2507,deepseek/deepseek-chat-v3.1,0.7,,50,40,c022,12800,16293,124710,1139,0,154942,592.93,71,0,0,11,0,1c644e8cf2ec,f34a41eb5d7b,5fd8c28,
mars_boot__blind__n40__qwen-qwen3-235b-a22b-2507__s3,2026-08-04T04:51:56+00:00,mars_boot,blind_n40,blind,40,10,10,3,qwen/qwen3-235b-a22b-2507,deepseek/deepseek-chat-v3.1,0.7,,50,40,c009,12356,16301,125248,1178,0,155083,669.41,69,0,0,9,0,1c644e8cf2ec,f34a41eb5d7b,5fd8c28,
mars_boot__sighted__n40__qwen-qwen3-235b-a22b-2507__s2,2026-08-04T04:53:57+00:00,mars_boot,sighted_n40,sighted,40,10,10,2,qwen/qwen3-235b-a22b-2507,deepseek/deepseek-chat-v3.1,0.7,,50,40,c031,470467,18403,145902,937,0,635709,660.43,63,0,0,3,1,84da58c7bb6d,f34a41eb5d7b,5fd8c28,
mars_boot__sighted__n40__qwen-qwen3-235b-a22b-2507__s4,2026-08-04T04:54:44+00:00,mars_boot,sighted_n40,sighted,40,10,10,4,qwen/qwen3-235b-a22b-2507,deepseek/deepseek-chat-v3.1,0.7,,50,40,c048,467306,17827,141001,1178,0,627312,690.95,65,0,0,5,0,84da58c7bb6d,f34a41eb5d7b,5fd8c28,
mars_boot__sighted__n40__qwen-qwen3-235b-a22b-2507__s3,2026-08-04T04:55:00+00:00,mars_boot,sighted_n40,sighted,40,10,10,3,qwen/qwen3-235b-a22b-2507,deepseek/deepseek-chat-v3.1,0.7,,50,40,c019,437078,17501,139122,1180,0,594881,713.59,62,0,0,2,0,84da58c7bb6d,f34a41eb5d7b,5fd8c28,
mars_boot__sighted__n40__qwen-qwen3-235b-a22b-2507__s0,2026-08-04T04:55:12+00:00,mars_boot,sighted_n40,sighted,40,10,10,0,qwen/qwen3-235b-a22b-2507,deepseek/deepseek-chat-v3.1,0.7,,50,40,c038,470245,19139,148456,1059,0,638899,784.44,61,0,0,1,0,84da58c7bb6d,f34a41eb5d7b,5fd8c28,
mars_boot__sighted__n40__qwen-qwen3-235b-a22b-2507__s1,2026-08-04T04:55:17+00:00,mars_boot,sighted_n40,sighted,40,10,10,1,qwen/qwen3-235b-a22b-2507,deepseek/deepseek-chat-v3.1,0.7,,50,40,c049,460470,19551,150160,1020,0,631201,755.89,65,0,0,5,0,84da58c7bb6d,f34a41eb5d7b,5fd8c28,
