run_id,round,n_presented,challenger_id,pool_before,pool_after,presentation_order,ranking,discarded_id,discarded_position,discarded_was_challenger,top_id,top_changed,sel_prompt_tokens,sel_completion_tokens,sel_reasoning_tokens,latency_seconds,cached,parse_status,parse_retries,raw_response
mars_boot__sighted__n1__qwen-qwen3-235b-a22b-2507__s0,2,2,c002,c000,c000,c000;c002,c000;c002,c002,2,true,c000,false,936,13,0,0.752,false,ok,0,"RANKING: 1,2 DISCARD: 2"
mars_boot__sighted__n1__qwen-qwen3-235b-a22b-2507__s2,2,2,c002,c000,c000,c002;c000,c000;c002,c002,1,true,c000,false,938,14,0,0.742,false,ok,0,"RANKING: 2, 1 DISCARD: 1"
mars_boot__sighted__n2__qwen-qwen3-235b-a22b-2507__s2,1,3,c002,c000;c001,c000;c001,c000;c002;c001,c000;c001;c002,c002,2,true,c000,true,1231,15,0,1.104,false,ok,0,"RANKING: 1,3,2 DISCARD: 2"
mars_boot__blind__n2__qwen-qwen3-235b-a22b-2507__s4,2,3,c003,c001;c002,c001;c002,c002;c001;c003,c001;c002;c003,c003,3,true,c001,false,1091,15,0,0.737,false,ok,0,"RANKING: 2,1,3 DISCARD: 3"
mars_boot__sighted__n2__qwen-qwen3-235b-a22b-2507__s0,1,3,c002,c000;c001,c000;c001,c000;c001;c002,c000;c001;c002,c002,3,true,c000,true,1260,15,0,0.675,false,ok,0,"RANKING: 1,2,3 DISCARD: 3"
mars_boot__blind__n2__qwen-qwen3-235b-a22b-2507__s0,2,3,c003,c001;c002,c002;c003,c003;c001;c002,c003;c002;c001,c001,2,false,c003,true,1212,15,0,0.702,false,ok,0,"RANKING: 1,3,2 DISCARD: 2"
mars_boot__blind__n1__qwen-qwen3-235b-a22b-2507__s2,2,2,c002,c001,c001,c002;c001,c001;c002,c002,1,true,c001,false,937,14,0,0.844,false,ok,0,"RANKING: 2, 1 DISCARD: 1"
mars_boot__sighted__n2__qwen-qwen3-235b-a22b-2507__s3,1,3,c002,c000;c001,c000;c001,c000;c002;c001,c000;c001;c002,c002,2,true,c000,true,1264,15,0,0.675,false,ok,0,"RANKING: 1,3,2 DISCARD: 2"
mars_boot__blind__n1__qwen-qwen3-235b-a22b-2507__s4,2,2,c002,c000,c000,c002;c000,c000;c002,c002,1,true,c000,false,936,13,0,0.708,false,ok,0,"RANKING: 2,1 DISCARD: 1"
mars_boot__blind__n2__qwen-qwen3-235b-a22b-2507__s3,1,3,c002,c000;c001,c001;c002,c002;c000;c001,c002;c001;c000,c000,2,false,c002,true,1173,17,0,0.737,false,ok,0,"RANKING: 1, 3, 2 DISCARD: 2"
mars_boot__blind__n1__qwen-qwen3-235b-a22b-2507__s1,3,2,c003,c001,c001,c001;c003,c001;c003,c003,2,true,c001,false,912,14,0,0.802,false,ok,0,"RANKING: 1, 2 DISCARD: 2"
mars_boot__blind__n2__qwen-qwen3-235b-a22b-2507__s1,2,3,c003,c001;c002,c001;c003,c003;c002;c001,c003;c001;c002,c002,2,false,c003,true,1241,17,0,0.66,false,ok,0,"RANKING: 1, 3, 2 DISCARD: 2"
mars_boot__blind__n1__qwen-qwen3-235b-a22b-2507__s0,3,2,c003,c001,c001,c003;c001,c001;c003,c003,1,true,c001,false,913,13,0,0.676,false,ok,0,"RANKING: 2,1 DISCARD: 1"
mars_boot__blind__n2__qwen-qwen3-235b-a22b-2507__s2,2,3,c003,c000;c002,c000;c002,c000;c003;c002,c002;c000;c003,c003,2,true,c000,false,1211,15,0,0.739,false,ok,0,"RANKING: 3,1,2 DISCARD: 2"
mars_boot__sighted__n1__qwen-qwen3-235b-a22b-2507__s1,2,2,c002,c000,c000,c002;c000,c000;c002,c002,1,true,c000,false,938,13,0,0.727,false,ok,0,"RANKING: 2,1 DISCARD: 1"
mars_boot__blind__n3__qwen-qwen3-235b-a22b-2507__s3,1,4,c003,c000;c001;c002,c001;c002;c003,c002;c001;c003;c000,c001;c003;c002;c000,c000,4,false,c001,true,1475,20,0,2.114,false,ok,0,"RANKING: 2, 3, 1, 4 DISCARD: 4"
mars_boot__sighted__n1__qwen-qwen3-235b-a22b-2507__s2,3,2,c003,c000,c003,c000;c003,c003;c000,c000,1,false,c003,true,909,13,0,0.79,false,ok,0,"RANKING: 2,1 DISCARD: 1"
mars_boot__blind__n3__qwen-qwen3-235b-a22b-2507__s4,1,4,c003,c000;c001;c002,c001;c002;c003,c003;c001;c002;c000,c003;c001;c002;c000,c000,4,false,c003,true,1481,20,0,0.708,false,ok,0,"RANKING: 1, 2, 3, 4 DISCARD: 4"
mars_boot__blind__n3__qwen-qwen3-235b-a22b-2507__s2,1,4,c003,c000;c001;c002,c000;c001;c002,c002;c000;c003;c001,c001;c000;c002;c003,c003,3,true,c001,true,1479,17,0,0.65,false,ok,0,"RANKING: 4,2,1,3 DISCARD: 3"
mars_boot__blind__n2__qwen-qwen3-235b-a22b-2507__s4,3,3,c004,c001;c002,c001;c002,c001;c004;c002,c001;c002;c004,c004,2,true,c001,false,1063,15,0,0.731,false,ok,0,"RANKING: 1,3,2 DISCARD: 2"
mars_boot__sighted__n1__qwen-qwen3-235b-a22b-2507__s3,3,2,c003,c000,c000,c003;c000,c000;c003,c003,1,true,c000,false,963,13,0,0.776,false,ok,0,"RANKING: 2,1 DISCARD: 1"
mars_boot__sighted__n2__qwen-qwen3-235b-a22b-2507__s4,2,3,c003,c000;c002,c000;c002,c000;c002;c003,c000;c002;c003,c003,3,true,c000,false,1224,15,0,0.881,false,ok,0,"RANKING: 1,2,3 DISCARD: 3"
mars_boot__blind__n3__qwen-qwen3-235b-a22b-2507__s0,1,4,c003,c000;c001;c002,c000;c002;c003,c002;c001;c000;c003,c003;c002;c000;c001,c001,2,false,c003,true,1396,20,0,0.822,false,ok,0,"RANKING: 4, 1, 3, 2 DISCARD: 2"
mars_boot__sighted__n1__qwen-qwen3-235b-a22b-2507__s0,3,2,c003,c000,c000,c003;c000,c000;c003,c003,1,true,c000,false,954,13,0,1.182,false,ok,0,"RANKING: 2,1 DISCARD: 1"
mars_boot__blind__n1__qwen-qwen3-235b-a22b-2507__s3,2,2,c002,c000,c000,c002;c000,c000;c002,c002,1,true,c000,false,923,13,0,0.834,false,ok,0,"RANKING: 2,1 DISCARD: 1"
mars_boot__blind__n1__qwen-qwen3-235b-a22b-2507__s2,3,2,c003,c001,c001,c003;c001,c001;c003,c003,1,true,c001,false,960,13,0,0.758,false,ok,0,"RANKING: 2,1 DISCARD: 1"
mars_boot__blind__n2__qwen-qwen3-235b-a22b-2507__s0,3,3,c004,c002;c003,c002;c003,c002;c004;c003,c002;c003;c004,c004,2,true,c002,true,1206,15,0,0.767,false,ok,0,"RANKING: 1,3,2 DISCARD: 2"
mars_boot__sighted__n1__qwen-qwen3-235b-a22b-2507__s4,3,2,c003,c000,c000,c003;c000,c000;c003,c003,1,true,c000,false,797,13,0,0.858,false,ok,0,"RANKING: 2,1 DISCARD: 1"
mars_boot__sighted__n2__qwen-qwen3-235b-a22b-2507__s2,2,3,c003,c000;c001,c000;c003,c000;c001;c003,c000;c003;c001,c001,2,false,c000,false,1216,15,0,0.875,false,ok,0,"RANKING: 1,3,2 DISCARD: 2"
mars_boot__sighted__n2__qwen-qwen3-235b-a22b-2507__s1,1,3,c002,c000;c001,c000;c002,c000;c001;c002,c000;c002;c001,c001,2,false,c000,true,1269,15,0,0.672,false,ok,0,"RANKING: 1,3,2 DISCARD: 2"
mars_boot__blind__n1__qwen-qwen3-235b-a22b-2507__s0,4,2,c004,c001,c001,c004;c001,c001;c004,c004,1,true,c001,false,823,13,0,0.987,false,ok,0,"RANKING: 2,1 DISCARD: 1"
mars_boot__sighted__n2__qwen-qwen3-235b-a22b-2507__s0,2,3,c003,c000;c001,c000;c001,c000;c003;c001,c000;c001;c003,c003,2,true,c000,false,1265,17,0,0.842,false,ok,0,"RANKING: 1, 3, 2 DISCARD: 2"
mars_boot__blind__n3__qwen-qwen3-235b-a22b-2507__s1,1,4,c003,c000;c001;c002,c001;c002;c003,c003;c002;c001;c000,c001;c003;c002;c000,c000,4,false,c001,true,1526,17,0,0.761,false,ok,0,"RANKING: 3,1,2,4 DISCARD: 4"
mars_boot__blind__n1__qwen-qwen3-235b-a22b-2507__s4,3,2,c003,c000,c000,c003;c000,c000;c003,c003,1,true,c000,false,946,13,0,0.8,false,ok,0,"RANKING: 2,1 DISCARD: 1"
mars_boot__sighted__n2__qwen-qwen3-235b-a22b-2507__s3,2,3,c003,c000;c001,c000;c001,c001;c003;c000,c000;c001;c003,c003,2,true,c000,false,1251,17,0,0.819,false,ok,0,"RANKING: 3, 1, 2 DISCARD: 2"
mars_boot__blind__n1__qwen-qwen3-235b-a22b-2507__s1,4,2,c004,c001,c001,c001;c004,c001;c004,c004,2,true,c001,false,908,14,0,0.583,false,ok,0,"RANKING: 1, 2 DISCARD: 2"
mars_boot__blind__n3__qwen-qwen3-235b-a22b-2507__s4,2,4,c004,c001;c002;c003,c001;c003;c004,c001;c003;c002;c004,c001;c003;c004;c002,c002,3,false,c001,true,1469,17,0,0.965,false,ok,0,"RANKING: 1,2,4,3 DISCARD: 3"
mars_boot__blind__n2__qwen-qwen3-235b-a22b-2507__s3,2,3,c003,c001;c002,c002;c003,c001;c002;c003,c003;c002;c001,c001,1,false,c003,true,1211,15,0,0.789,false,ok,0,"RANKING: 3,2,1 DISCARD: 1"
mars_boot__sighted__n1__qwen-qwen3-235b-a22b-2507__s1,3,2,c003,c000,c000,c003;c000,c000;c003,c003,1,true,c000,false,868,13,0,0.941,false,ok,0,"RANKING: 2,1 DISCARD: 1"
mars_boot__blind__n2__qwen-qwen3-235b-a22b-2507__s1,3,3,c004,c001;c003,c001;c003,c001;c003;c004,c003;c001;c004,c004,3,true,c003,false,1252,15,0,0.737,false,ok,0,"RANKING: 2,1,3 DISCARD: 3"
mars_boot__blind__n3__qwen-qwen3-235b-a22b-2507__s3,2,4,c004,c001;c002;c003,c001;c002;c003,c002;c001;c004;c003,c001;c003;c002;c004,c004,3,true,c001,false,1465,20,0,0.77,false,ok,0,"RANKING: 2, 4, 1, 3 DISCARD: 3"
mars_boot__blind__n2__qwen-qwen3-235b-a22b-2507__s2,3,3,c004,c000;c002,c000;c004,c000;c004;c002,c004;c000;c002,c002,3,false,c004,true,1212,15,0,0.91,false,ok,0,"RANKING: 2,1,3 DISCARD: 3"
mars_boot__blind__n3__qwen-qwen3-235b-a22b-2507__s0,2,4,c004,c000;c002;c003,c000;c003;c004,c002;c003;c004;c000,c004;c003;c000;c002,c002,1,false,c004,true,1465,17,0,1.156,false,ok,0,"RANKING: 3,2,4,1 DISCARD: 1"
mars_boot__blind__n1__qwen-qwen3-235b-a22b-2507__s3,3,2,c003,c000,c000,c003;c000,c000;c003,c003,1,true,c000,false,924,14,0,0.739,false,ok,0,"RANKING: 2, 1 DISCARD: 1"
mars_boot__sighted__n1__qwen-qwen3-235b-a22b-2507__s2,4,2,c004,c003,c003,c004;c003,c003;c004,c004,1,true,c003,false,929,13,0,0.64,false,ok,0,"RANKING: 2,1 DISCARD: 1"
mars_boot__blind__n2__qwen-qwen3-235b-a22b-2507__s4,4,3,c005,c001;c002,c001;c002,c002;c005;c001,c002;c001;c005,c005,2,true,c001,false,1165,15,0,0.642,false,ok,0,"RANKING: 1,3,2 DISCARD: 2"
mars_boot__sighted__n2__qwen-qwen3-235b-a22b-2507__s4,3,3,c004,c000;c002,c000;c002,c002;c000;c004,c000;c002;c004,c004,3,true,c000,false,1211,17,0,0.676,false,ok,0,"RANKING: 2, 1, 3 DISCARD: 3"
mars_boot__sighted__n1__qwen-qwen3-235b-a22b-2507__s0,4,2,c004,c000,c000,c000;c004,c000;c004,c004,2,true,c000,false,925,14,0,0.748,false,ok,0,"RANKING: 1, 2 DISCARD: 2"
mars_boot__sighted__n1__qwen-qwen3-235b-a22b-2507__s3,4,2,c004,c000,c000,c000;c004,c000;c004,c004,2,true,c000,false,933,14,0,1.02,false,ok,0,"RANKING: 1, 2 DISCARD: 2"
mars_boot__blind__n5__qwen-qwen3-235b-a22b-2507__s3,1,6,c005,c000;c001;c002;c003;c004,c000;c001;c002;c003;c004,c000;c004;c001;c005;c003;c002,c004;c000;c002;c003;c001;c005,c005,4,true,c004,true,2064,26,0,0.895,false,ok,0,"RANKING: 2, 1, 6, 5, 3, 4 DISCARD: 4"
mars_boot__blind__n2__qwen-qwen3-235b-a22b-2507__s0,4,3,c005,c002;c003,c003;c005,c005;c003;c002,c005;c003;c002,c002,3,false,c005,true,1219,17,0,0.648,false,ok,0,"RANKING: 1, 2, 3 DISCARD: 3"
mars_boot__sighted__n1__qwen-qwen3-235b-a22b-2507__s4,4,2,c004,c000,c000,c000;c004,c000;c004,c004,2,true,c000,false,911,14,0,0.752,false,ok,0,"RANKING: 1, 2 DISCARD: 2"
mars_boot__blind__n1__qwen-qwen3-235b-a22b-2507__s4,4,2,c004,c000,c000,c004;c000,c000;c004,c004,1,true,c000,false,935,13,0,0.646,false,ok,0,"RANKING: 2,1 DISCARD: 1"
mars_boot__blind__n1__qwen-qwen3-235b-a22b-2507__s2,4,2,c004,c001,c004,c001;c004,c004;c001,c001,1,false,c004,true,947,13,0,0.657,false,ok,0,"RANKING: 2,1 DISCARD: 1"
mars_boot__sighted__n2__qwen-qwen3-235b-a22b-2507__s1,2,3,c003,c000;c002,c000;c002,c003;c002;c000,c000;c002;c003,c003,1,true,c000,false,1280,15,0,0.732,false,ok,0,"RANKING: 3,2,1 DISCARD: 1"
mars_boot__sighted__n2__qwen-qwen3-235b-a22b-2507__s2,3,3,c004,c000;c003,c000;c004,c004;c000;c003,c004;c000;c003,c003,3,false,c004,true,1205,17,0,0.839,false,ok,0,"RANKING: 1, 2, 3 DISCARD: 3"
mars_boot__blind__n3__qwen-qwen3-235b-a22b-2507__s1,2,4,c004,c001;c002;c003,c001;c002;c004,c002;c004;c001;c003,c001;c002;c004;c003,c003,4,false,c001,false,1526,17,0,0.725,false,ok,0,"RANKING: 3,1,2,4 DISCARD: 4"
mars_boot__blind__n1__qwen-qwen3-235b-a22b-2507__s0,5,2,c005,c001,c001,c005;c001,c001;c005,c005,1,true,c001,false,946,13,0,0.751,false,ok,0,"RANKING: 2,1 DISCARD: 1"
mars_boot__blind__n3__qwen-qwen3-235b-a22b-2507__s4,3,4,c005,c001;c003;c004,c001;c003;c005,c005;c004;c001;c003,c005;c003;c001;c004,c004,2,false,c005,true,1469,20,0,0.65,false,ok,0,"RANKING: 1, 4, 3, 2 DISCARD: 2"
mars_boot__blind__n3__qwen-qwen3-235b-a22b-2507__s2,2,4,c004,c000;c001;c002,c000;c001;c004,c001;c004;c002;c000,c001;c000;c004;c002,c002,3,false,c001,false,1533,17,0,0.779,false,ok,0,"RANKING: 1,4,2,3 DISCARD: 3"
mars_boot__blind__n2__qwen-qwen3-235b-a22b-2507__s1,4,3,c005,c001;c003,c003;c005,c005;c001;c003,c005;c003;c001,c001,2,false,c005,true,1230,17,0,0.753,false,ok,0,"RANKING: 1, 3, 2 DISCARD: 2"
mars_boot__sighted__n2__qwen-qwen3-235b-a22b-2507__s3,3,3,c004,c000;c001,c000;c001,c000;c004;c001,c000;c001;c004,c004,2,true,c000,false,1256,17,0,0.821,false,ok,0,"RANKING: 1, 3, 2 DISCARD: 2"
mars_boot__blind__n1__qwen-qwen3-235b-a22b-2507__s1,5,2,c005,c001,c005,c001;c005,c005;c001,c001,1,false,c005,true,942,13,0,0.748,false,ok,0,"RANKING: 2,1 DISCARD: 1"
mars_boot__sighted__n2__qwen-qwen3-235b-a22b-2507__s0,3,3,c004,c000;c001,c000;c001,c001;c000;c004,c001;c000;c004,c004,3,true,c000,false,1275,15,0,0.65,false,ok,0,"RANKING: 1,2,3 DISCARD: 3"
mars_boot__sighted__n1__qwen-qwen3-235b-a22b-2507__s1,4,2,c004,c000,c000,c000;c004,c000;c004,c004,2,true,c000,false,933,14,0,0.616,false,ok,0,"RANKING: 1, 2 DISCARD: 2"
mars_boot__blind__n1__qwen-qwen3-235b-a22b-2507__s3,4,2,c004,c000,c000,c004;c000,c000;c004,c004,1,true,c000,false,927,13,0,0.839,false,ok,0,"RANKING: 2,1 DISCARD: 1"
mars_boot__blind__n3__qwen-qwen3-235b-a22b-2507__s3,3,4,c005,c001;c002;c003,c001;c003;c005,c005;c003;c002;c001,c005;c001;c003;c002,c002,3,false,c005,true,1474,20,0,0.715,false,ok,0,"RANKING: 1, 4, 2, 3 DISCARD: 3"
mars_boot__sighted__n1__qwen-qwen3-235b-a22b-2507__s3,5,2,c005,c000,c000,c005;c000,c000;c005,c005,1,true,c000,false,791,13,0,0.866,false,ok,0,"RANKING: 2,1 DISCARD: 1"
mars_boot__blind__n5__qwen-qwen3-235b-a22b-2507__s2,1,6,c005,c000;c001;c002;c003;c004,c000;c002;c003;c004;c005,c002;c005;c001;c003;c004;c000,c002;c000;c005;c003;c004;c001,c001,3,false,c002,true,2118,21,0,0.768,false,ok,0,"RANKING: 1,6,2,4,5,3 DISCARD: 3"
mars_boot__blind__n5__qwen-qwen3-235b-a22b-2507__s1,1,6,c005,c000;c001;c002;c003;c004,c001;c002;c003;c004;c005,c002;c003;c000;c004;c001;c005,c002;c003;c004;c005;c001;c000,c000,3,false,c002,true,2094,26,0,0.648,false,ok,0,"RANKING: 1, 2, 4, 6, 5, 3 DISCARD: 3"
mars_boot__blind__n3__qwen-qwen3-235b-a22b-2507__s0,3,4,c005,c000;c003;c004,c000;c003;c004,c003;c000;c005;c004,c004;c003;c000;c005,c005,3,true,c004,false,1460,20,0,0.665,false,ok,0,"RANKING: 4, 1, 2, 3 DISCARD: 3"
mars_boot__blind__n2__qwen-qwen3-235b-a22b-2507__s3,3,3,c004,c002;c003,c003;c004,c004;c002;c003,c004;c003;c002,c002,2,false,c004,true,1235,15,0,0.785,false,ok,0,"RANKING: 1,3,2 DISCARD: 2"
mars_boot__blind__n2__qwen-qwen3-235b-a22b-2507__s0,5,3,c006,c003;c005,c003;c005,c005;c006;c003,c005;c003;c006,c006,2,true,c005,false,1213,17,0,0.61,false,ok,0,"RANKING: 1, 3, 2 DISCARD: 2"
mars_boot__blind__n5__qwen-qwen3-235b-a22b-2507__s3,2,6,c006,c000;c001;c002;c003;c004,c001;c002;c003;c004;c006,c001;c003;c006;c000;c002;c004,c004;c001;c006;c002;c003;c000,c000,4,false,c004,false,2051,26,0,0.712,false,ok,0,"RANKING: 6, 1, 3, 5, 2, 4 DISCARD: 4"
mars_boot__blind__n1__qwen-qwen3-235b-a22b-2507__s2,5,2,c005,c004,c004,c005;c004,c004;c005,c005,1,true,c004,false,900,14,0,0.727,false,ok,0,"RANKING: 2, 1 DISCARD: 1"
mars_boot__sighted__n1__qwen-qwen3-235b-a22b-2507__s0,5,2,c005,c000,c005,c000;c005,c005;c000,c000,1,false,c005,true,962,13,0,0.664,false,ok,0,"RANKING: 2,1 DISCARD: 1"
mars_boot__sighted__n2__qwen-qwen3-235b-a22b-2507__s4,4,3,c005,c000;c002,c000;c002,c005;c000;c002,c000;c002;c005,c005,1,true,c000,false,1249,15,0,0.818,false,ok,0,"RANKING: 2,3,1 DISCARD: 1"
mars_boot__blind__n2__qwen-qwen3-235b-a22b-2507__s4,5,3,c006,c001;c002,c001;c002,c002;c001;c006,c001;c002;c006,c006,3,true,c001,false,1140,15,0,0.752,false,ok,0,"RANKING: 2,1,3 DISCARD: 3"
mars_boot__sighted__n1__qwen-qwen3-235b-a22b-2507__s4,5,2,c005,c000,c000,c005;c000,c000;c005,c005,1,true,c000,false,900,13,0,0.595,false,ok,0,"RANKING: 2,1 DISCARD: 1"
mars_boot__sighted__n1__qwen-qwen3-235b-a22b-2507__s2,5,2,c005,c003,c003,c003;c005,c003;c005,c005,2,true,c003,false,897,13,0,0.689,false,ok,0,"RANKING: 1,2 DISCARD: 2"
mars_boot__blind__n3__qwen-qwen3-235b-a22b-2507__s4,4,4,c006,c001;c003;c005,c001;c003;c005,c001;c006;c003;c005,c001;c005;c003;c006,c006,2,true,c005,false,1494,20,0,0.894,false,ok,0,"RANKING: 1, 4, 3, 2 DISCARD: 2"
mars_boot__blind__n2__qwen-qwen3-235b-a22b-2507__s1,5,3,c006,c003;c005,c003;c005,c006;c005;c003,c005;c003;c006,c006,1,true,c005,false,1212,15,0,0.759,false,ok,0,"RANKING: 2,3,1 DISCARD: 1"
mars_boot__blind__n1__qwen-qwen3-235b-a22b-2507__s4,5,2,c005,c000,c000,c000;c005,c000;c005,c005,2,true,c000,false,960,14,0,0.723,false,ok,0,"RANKING: 1, 2 DISCARD: 2"
mars_boot__blind__n1__qwen-qwen3-235b-a22b-2507__s0,6,2,c006,c001,c001,c001;c006,c001;c006,c006,2,true,c001,false,919,13,0,0.874,false,ok,0,"RANKING: 1,2 DISCARD: 2"
mars_boot__blind__n3__qwen-qwen3-235b-a22b-2507__s2,3,4,c005,c000;c001;c004,c000;c001;c004,c000;c001;c005;c004,c000;c004;c001;c005,c005,3,true,c000,true,1513,20,0,0.711,false,ok,0,"RANKING: 1, 4, 2, 3 DISCARD: 3"
mars_boot__blind__n3__qwen-qwen3-235b-a22b-2507__s1,3,4,c005,c001;c002;c004,c001;c004;c005,c001;c002;c005;c004,c001;c004;c005;c002,c002,2,false,c001,false,1538,20,0,0.731,false,ok,0,"RANKING: 1, 4, 3, 2 DISCARD: 2"
mars_boot__sighted__n1__qwen-qwen3-235b-a22b-2507__s1,5,2,c005,c000,c000,c000;c005,c000;c005,c005,2,true,c000,false,930,14,0,0.613,false,ok,0,"RANKING: 1, 2 DISCARD: 2"
mars_boot__blind__n3__qwen-qwen3-235b-a22b-2507__s0,4,4,c006,c000;c003;c004,c000;c004;c006,c004;c000;c003;c006,c004;c006;c000;c003,c003,3,false,c004,false,1446,17,0,1.01,false,ok,0,"RANKING: 1,4,2,3 DISCARD: 3"
mars_boot__blind__n5__qwen-qwen3-235b-a22b-2507__s4,1,6,c005,c000;c001;c002;c003;c004,c000;c001;c002;c003;c005,c001;c003;c002;c005;c000;c004,c003;c002;c005;c001;c000;c004,c004,6,false,c003,true,2050,21,0,0.677,false,ok,0,"RANKING: 2,3,4,1,5,6 DISCARD: 6"
mars_boot__sighted__n2__qwen-qwen3-235b-a22b-2507__s2,4,3,c005,c000;c004,c000;c004,c005;c004;c000,c000;c004;c005,c005,1,true,c000,true,1238,15,0,0.668,false,ok,0,"RANKING: 3,2,1 DISCARD: 1"
mars_boot__sighted__n2__qwen-qwen3-235b-a22b-2507__s3,4,3,c005,c000;c001,c000;c001,c000;c005;c001,c000;c001;c005,c005,2,true,c000,false,1278,17,0,0.636,false,ok,0,"RANKING: 1, 3, 2 DISCARD: 2"
mars_boot__blind__n1__qwen-qwen3-235b-a22b-2507__s3,5,2,c005,c000,c000,c000;c005,c000;c005,c005,2,true,c000,false,933,13,0,0.674,false,ok,0,"RANKING: 1,2 DISCARD: 2"
mars_boot__blind__n1__qwen-qwen3-235b-a22b-2507__s1,6,2,c006,c005,c006,c005;c006,c006;c005,c005,1,false,c006,true,912,13,0,0.713,false,ok,0,"RANKING: 2,1 DISCARD: 1"
