run_id,timestamp_utc,problem_id,method_name,arm,pool_size,n_rounds,rounds_completed,seed,model_name,judge_model,temperature,sighted_cap,n_generated,n_survivors,final_candidate_id,gen_prompt_tokens,gen_completion_tokens,sel_prompt_tokens,sel_completion_tokens,total_reasoning_tokens,total_tokens,total_wall_seconds,n_api_calls,n_cached_calls,n_parse_failures,n_short_generations,n_challenger_discarded,gen_prompt_sha,sel_prompt_sha,git_commit,notes
mars_boot__blind__n3__qwen-qwen3-235b-a22b-2507__s4,2026-08-04T07:14:43+00:00,mars_boot,blind_n3,blind,3,10,10,4,qwen/qwen3-235b-a22b-2507,google/gemini-2.5-flash,0.7,,13,3,c008,4017,3895,15001,194,0,23107,116.24,25,0,0,2,3,998e1a398fc5,f34a41eb5d7b,a5582c9,
mars_boot__sighted__n2__qwen-qwen3-235b-a22b-2507__s4,2026-08-04T07:14:48+00:00,mars_boot,sighted_n2,sighted,2,10,10,4,qwen/qwen3-235b-a22b-2507,google/gemini-2.5-flash,0.7,,12,2,c000,11619,4199,12362,158,0,28338,121.51,24,0,0,2,7,fbe21666073d,f34a41eb5d7b,a5582c9,
mars_boot__blind__n3__qwen-qwen3-235b-a22b-2507__s0,2026-08-04T07:14:49+00:00,mars_boot,blind_n3,blind,3,10,10,0,qwen/qwen3-235b-a22b-2507,google/gemini-2.5-flash,0.7,,13,3,c011,3736,3778,14677,182,0,22373,121.57,24,0,0,1,3,998e1a398fc5,f34a41eb5d7b,a5582c9,
mars_boot__blind__n3__qwen-qwen3-235b-a22b-2507__s3,2026-08-04T07:14:50+00:00,mars_boot,blind_n3,blind,3,10,10,3,qwen/qwen3-235b-a22b-2507,google/gemini-2.5-flash,0.7,,13,3,c010,4052,3991,14871,200,0,23114,123.31,25,0,0,2,6,998e1a398fc5,f34a41eb5d7b,a5582c9,
mars_boot__blind__n1__qwen-qwen3-235b-a22b-2507__s2,2026-08-04T07:14:52+00:00,mars_boot,blind_n1,blind,1,10,10,2,qwen/qwen3-235b-a22b-2507,google/gemini-2.5-flash,0.7,,11,1,c009,3481,4117,9426,133,0,17157,124.88,23,0,0,2,6,998e1a398fc5,f34a41eb5d7b,a5582c9,
mars_boot__sighted__n1__qwen-qwen3-235b-a22b-2507__s1,2026-08-04T07:14:52+00:00,mars_boot,sighted_n1,sighted,1,10,10,1,qwen/qwen3-235b-a22b-2507,google/gemini-2.5-flash,0.7,,11,1,c008,7650,3631,9313,133,0,20727,125.01,23,0,0,2,9,fbe21666073d,f34a41eb5d7b,a5582c9,
mars_boot__sighted__n2__qwen-qwen3-235b-a22b-2507__s2,2026-08-04T07:14:52+00:00,mars_boot,sighted_n2,sighted,2,10,10,2,qwen/qwen3-235b-a22b-2507,google/gemini-2.5-flash,0.7,,12,2,c008,12797,4271,12325,158,0,29551,125.4,25,0,0,3,7,fbe21666073d,f34a41eb5d7b,a5582c9,
mars_boot__blind__n2__qwen-qwen3-235b-a22b-2507__s3,2026-08-04T07:14:54+00:00,mars_boot,blind_n2,blind,2,10,10,3,qwen/qwen3-235b-a22b-2507,google/gemini-2.5-flash,0.7,,12,2,c011,3477,3579,11923,164,0,19143,126.7,23,0,0,1,2,998e1a398fc5,f34a41eb5d7b,a5582c9,
mars_boot__sighted__n1__qwen-qwen3-235b-a22b-2507__s4,2026-08-04T07:14:55+00:00,mars_boot,sighted_n1,sighted,1,10,10,4,qwen/qwen3-235b-a22b-2507,google/gemini-2.5-flash,0.7,,11,1,c000,6395,3574,8557,132,0,18658,127.63,22,0,0,1,10,fbe21666073d,f34a41eb5d7b,a5582c9,
mars_boot__blind__n5__qwen-qwen3-235b-a22b-2507__s1,2026-08-04T07:14:57+00:00,mars_boot,blind_n5,blind,5,10,10,1,qwen/qwen3-235b-a22b-2507,google/gemini-2.5-flash,0.7,,15,5,c013,4043,4558,20805,260,0,29666,129.6,25,0,0,0,4,998e1a398fc5,f34a41eb5d7b,a5582c9,
mars_boot__sighted__n2__qwen-qwen3-235b-a22b-2507__s0,2026-08-04T07:14:57+00:00,mars_boot,sighted_n2,sighted,2,10,10,0,qwen/qwen3-235b-a22b-2507,google/gemini-2.5-flash,0.7,,12,2,c001,12778,4191,12608,156,0,29733,129.67,25,0,0,3,10,fbe21666073d,f34a41eb5d7b,a5582c9,
mars_boot__blind__n3__qwen-qwen3-235b-a22b-2507__s1,2026-08-04T07:14:58+00:00,mars_boot,blind_n3,blind,3,10,10,1,qwen/qwen3-235b-a22b-2507,google/gemini-2.5-flash,0.7,,13,3,c001,3512,4024,15303,191,0,23030,130.75,23,0,0,0,5,998e1a398fc5,f34a41eb5d7b,a5582c9,
mars_boot__blind__n5__qwen-qwen3-235b-a22b-2507__s3,2026-08-04T07:14:58+00:00,mars_boot,blind_n5,blind,5,10,10,3,qwen/qwen3-235b-a22b-2507,google/gemini-2.5-flash,0.7,,15,5,c004,4028,4604,20787,250,0,29669,130.81,25,0,0,0,4,998e1a398fc5,f34a41eb5d7b,a5582c9,
mars_boot__blind__n2__qwen-qwen3-235b-a22b-2507__s2,2026-08-04T07:15:00+00:00,mars_boot,blind_n2,blind,2,10,10,2,qwen/qwen3-235b-a22b-2507,google/gemini-2.5-flash,0.7,,12,2,c010,3481,4298,12321,166,0,20266,132.86,23,0,0,1,5,998e1a398fc5,f34a41eb5d7b,a5582c9,
mars_boot__blind__n3__qwen-qwen3-235b-a22b-2507__s2,2026-08-04T07:15:02+00:00,mars_boot,blind_n3,blind,3,10,10,2,qwen/qwen3-235b-a22b-2507,google/gemini-2.5-flash,0.7,,13,3,c008,4052,4175,15294,185,0,23706,135.28,25,0,0,2,8,998e1a398fc5,f34a41eb5d7b,a5582c9,
mars_boot__sighted__n2__qwen-qwen3-235b-a22b-2507__s1,2026-08-04T07:15:08+00:00,mars_boot,sighted_n2,sighted,2,10,10,1,qwen/qwen3-235b-a22b-2507,google/gemini-2.5-flash,0.7,,12,2,c005,11617,4314,12920,152,0,29003,140.52,23,0,0,1,8,fbe21666073d,f34a41eb5d7b,a5582c9,
mars_boot__blind__n5__qwen-qwen3-235b-a22b-2507__s4,2026-08-04T07:15:10+00:00,mars_boot,blind_n5,blind,5,10,10,4,qwen/qwen3-235b-a22b-2507,google/gemini-2.5-flash,0.7,,15,5,c009,4279,4485,20458,250,0,29472,143.31,26,0,0,1,3,998e1a398fc5,f34a41eb5d7b,a5582c9,
mars_boot__sighted__n1__qwen-qwen3-235b-a22b-2507__s2,2026-08-04T07:15:11+00:00,mars_boot,sighted_n1,sighted,1,10,10,2,qwen/qwen3-235b-a22b-2507,google/gemini-2.5-flash,0.7,,11,1,c006,8199,5230,9235,132,0,22796,143.86,24,0,0,3,8,fbe21666073d,f34a41eb5d7b,a5582c9,
mars_boot__blind__n5__qwen-qwen3-235b-a22b-2507__s0,2026-08-04T07:15:26+00:00,mars_boot,blind_n5,blind,5,10,10,0,qwen/qwen3-235b-a22b-2507,google/gemini-2.5-flash,0.7,,15,5,c004,4546,5065,20878,255,0,30744,158.74,27,0,0,2,4,998e1a398fc5,f34a41eb5d7b,a5582c9,
mars_boot__blind__n5__qwen-qwen3-235b-a22b-2507__s2,2026-08-04T07:15:27+00:00,mars_boot,blind_n5,blind,5,10,10,2,qwen/qwen3-235b-a22b-2507,google/gemini-2.5-flash,0.7,,15,5,c000,4340,5525,21143,245,0,31253,160.5,26,0,0,1,8,998e1a398fc5,f34a41eb5d7b,a5582c9,
mars_boot__sighted__n3__qwen-qwen3-235b-a22b-2507__s4,2026-08-04T07:16:13+00:00,mars_boot,sighted_n3,sighted,3,10,10,4,qwen/qwen3-235b-a22b-2507,google/gemini-2.5-flash,0.7,,13,3,c000,15956,4648,15862,173,0,36639,97.89,24,0,0,1,8,fbe21666073d,f34a41eb5d7b,a5582c9,
mars_boot__sighted__n3__qwen-qwen3-235b-a22b-2507__s1,2026-08-04T07:17:06+00:00,mars_boot,sighted_n3,sighted,3,10,10,1,qwen/qwen3-235b-a22b-2507,google/gemini-2.5-flash,0.7,,13,3,c000,14645,4532,16136,182,0,35495,158.55,23,0,0,0,7,fbe21666073d,f34a41eb5d7b,a5582c9,
mars_boot__sighted__n3__qwen-qwen3-235b-a22b-2507__s3,2026-08-04T07:17:10+00:00,mars_boot,sighted_n3,sighted,3,10,10,3,qwen/qwen3-235b-a22b-2507,google/gemini-2.5-flash,0.7,,13,3,c010,15943,4601,16291,185,0,37020,159.83,24,0,0,1,8,fbe21666073d,f34a41eb5d7b,a5582c9,
mars_boot__sighted__n5__qwen-qwen3-235b-a22b-2507__s2,2026-08-04T07:17:25+00:00,mars_boot,sighted_n5,sighted,5,10,10,2,qwen/qwen3-235b-a22b-2507,google/gemini-2.5-flash,0.7,,15,5,c000,28579,5257,22807,225,0,56868,166.69,27,0,0,2,1,fbe21666073d,f34a41eb5d7b,a5582c9,
mars_boot__sighted__n3__qwen-qwen3-235b-a22b-2507__s2,2026-08-04T07:17:31+00:00,mars_boot,sighted_n3,sighted,3,10,10,2,qwen/qwen3-235b-a22b-2507,google/gemini-2.5-flash,0.7,,13,3,c000,16834,4549,15893,185,0,37461,182.68,26,0,0,3,7,fbe21666073d,f34a41eb5d7b,a5582c9,
mars_boot__sighted__n3__qwen-qwen3-235b-a22b-2507__s0,2026-08-04T07:17:31+00:00,mars_boot,sighted_n3,sighted,3,10,10,0,qwen/qwen3-235b-a22b-2507,google/gemini-2.5-flash,0.7,,13,3,c006,18127,5169,16489,185,0,39970,187.18,26,0,0,3,8,fbe21666073d,f34a41eb5d7b,a5582c9,
mars_boot__sighted__n5__qwen-qwen3-235b-a22b-2507__s1,2026-08-04T07:17:31+00:00,mars_boot,sighted_n5,sighted,5,10,10,1,qwen/qwen3-235b-a22b-2507,google/gemini-2.5-flash,0.7,,15,5,c000,29899,5357,23112,230,0,58598,174.86,28,0,0,3,7,fbe21666073d,f34a41eb5d7b,a5582c9,
mars_boot__sighted__n5__qwen-qwen3-235b-a22b-2507__s4,2026-08-04T07:17:54+00:00,mars_boot,sighted_n5,sighted,5,10,10,4,qwen/qwen3-235b-a22b-2507,google/gemini-2.5-flash,0.7,,15,5,c013,24273,5250,22635,235,0,52393,192.35,25,0,0,0,8,fbe21666073d,f34a41eb5d7b,a5582c9,
mars_boot__sighted__n5__qwen-qwen3-235b-a22b-2507__s0,2026-08-04T07:17:54+00:00,mars_boot,sighted_n5,sighted,5,10,10,0,qwen/qwen3-235b-a22b-2507,google/gemini-2.5-flash,0.7,,15,5,c000,24516,5165,22490,240,0,52411,199.01,26,0,0,1,8,fbe21666073d,f34a41eb5d7b,a5582c9,
mars_boot__sighted__n5__qwen-qwen3-235b-a22b-2507__s3,2026-08-04T07:18:31+00:00,mars_boot,sighted_n5,sighted,5,10,10,3,qwen/qwen3-235b-a22b-2507,google/gemini-2.5-flash,0.7,,15,5,c000,27570,5878,22663,240,0,56351,230.8,26,0,0,1,3,fbe21666073d,f34a41eb5d7b,a5582c9,
